Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
8,immad01,"Jul 16th, 2020 8:10 pm","July 22, 2020","Jul 16th, 2020 8:48 pm",,,1,,Real Canadian Superstore,Groceries,RCSS NO TAX ALL WEEK (July 16th through July 22nd) (GTA Stores),1524,0
9,DaVibe,"Jul 14th, 2020 2:08 am","July 16, 2020","Jul 16th, 2020 8:46 pm",Computers & Electronics,$97,7,,Visions Electronics,Home Theatre & Audio,Polk Audio TSi CS10 High Performance Center Speaker (CS10BLACK-OPENBOX) - $97,3863,3
10,pux420,"Jun 29th, 2020 12:30 pm","July 12, 2020","Jul 16th, 2020 8:41 pm",Home & Garden,214.99,155,20%,Costco,Home Improvement & Tools,Garage Epoxy $214.99,43931,23
11,solariseclipse,"May 24th, 2020 10:16 am",,"Jul 16th, 2020 8:39 pm",,,301,,Lenovo Canada,Computers & Electronics,Lenovo L24q-30 23.8-inch QHD Monitor 60-75hz 4ms IPS $215.99 + HST + Ebates 6% CB,68343,71
12,eljay0,"Jul 10th, 2020 1:13 pm",,"Jul 16th, 2020 8:33 pm",,$79,92,,Home Depot,Home & Garden,Chamberlain MyQ Smart Garage Hub $79 + FREE Google Nest Mini ($39-$69 value),19107,28
13,MercadorHG,"Jul 16th, 2020 11:25 am","July 23, 2020","Jul 16th, 2020 8:17 pm",Computers & Electronics,0$,19,100%,Epic Games,Video Games,Epic free games 16 - 23 July Torchlight II,6145,115
14,aasoror,"Jul 14th, 2018 12:00 am",,"Jul 16th, 2020 8:03 pm",Computers & Electronics,,1205,,,Peripherals & Accessories,[Staples/TheSource/WM/BB/Costco] HP Inkjet wireless 3-in-One Instant-Ink Eligible Printers from $60,355278,116
15,alli,"Jul 16th, 2020 6:04 pm",,"Jul 17th, 2020 9:13 am",Beauty & Wellness,17.99,33,,,Beauty Supplies & Personal Care,Disposable Masks - Medical Grade ASTM Level 2. Made in USA. 50 masks for $17.99 plus &9.95 S&H,3191,0
16,stancehunter,"Jul 15th, 2020 6:48 pm",,"Jul 16th, 2020 7:53 pm",Beauty & Wellness,$15,15,,,Beauty Supplies & Personal Care,GTA/Ottawa $15 - 5 x 10 Pack Disposable Face Masks - Non Medical,2560,3
17,kongqyk,"Jul 16th, 2020 5:15 am",,"Jul 16th, 2020 7:53 pm",Home & Garden,128,31,14% off,Home Depot,Home Improvement & Tools,Ryobi 4.0 Ah Battery (2-Pack) $102.4,4593,5
18,LuckyBaybee,"Jul 15th, 2020 4:12 pm","July 16, 2020","Jul 16th, 2020 7:50 pm",,,26,,Starbucks,Restaurants,"Starbucks Happy Hour is on 7/16, 2-7pm (BOGO Any Handcrafted Drink)",4626,9
19,jiffylube1024,"Jul 10th, 2020 5:10 pm",,"Jul 16th, 2020 7:47 pm",Home & Garden,404.99,42,24%,eBay.ca,Appliances,Dyson V10B (Animal) refurb - $404.99 from Dyson Canada (eBay),9636,10
20,lefroset,"Jul 16th, 2020 5:53 pm",,"Jul 16th, 2020 7:46 pm",Computers & Electronics,649.99,1,,Newegg,Peripherals & Accessories,($649.99+$9.99 shipping) Synology DS420+ 4-bay NAS,1225,3
21,immad01,"Jul 16th, 2020 7:19 pm",,"Jul 16th, 2020 7:41 pm",,,4,,Amazon.ca,Groceries,"Club House, Quality Natural Herbs & Spices, Seasoning Pack, 6 Count for $65 after $20 coupon",1384,-5
