Ausreisser_Index
5
20
55
61
83
98
112
132
133
141
154
175
185
197
198
211
223
258
265
314
370
385
404
490
519
538
539
562
576
624
662
695
788
805
815
844
847
873
901
916
926
944
966
979
997
998
1080
1145
1147
1151
1235
1271
1325
