Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
6,ashwani2k,"jul 15th, 2020 11:35 am","august 4, 2020","jul 15th, 2020 3:18 pm",home & garden,181,13,_nan_,amazon.ca,computers & electronics,$33.99: sandisk 200gb ultra microsdxc uhs-i memory card,3619,6
7,leifs39303,"jul 10th, 2020 10:36 pm","july 26, 2020","jul 15th, 2020 2:46 pm",computers & electronics,$724.99,78,$225 off.,best buy mobile,cell phones,hot! open box samsung galaxy note 10/10+ $725 and $875!!!,21842,6
8,frontlineworker6,"jul 15th, 2020 2:07 pm","july 16, 2020","jul 15th, 2020 2:16 pm",computers & electronics,_nan_,2,_nan_,2001 audio video,home theatre & audio,"hisense 65"" 4k ultra hd $647 2 year warranty sold by 2001 audio video",869,-1
9,strafe1,"jul 15th, 2020 2:12 pm","july 21, 2020","jul 15th, 2020 2:12 pm",apparel,$1.97,0,$1.50,giant tiger,home & garden,mr. clean magic eraser $1.97 - 2 pack -on ymmv,643,1
10,overboost,"jul 12th, 2020 5:24 pm","may 3, 2020","jul 15th, 2020 2:06 pm",home & garden,15 usd,41,_nan_,costco,groceries,gta - beef brisket $8.99/kg aaa,10012,9
11,ashwani2k,"jul 15th, 2020 11:33 am",_nan_,"jul 15th, 2020 1:56 pm",home & garden,181,11,_nan_,amazon.ca,computers & electronics,$29.99: sandisk 128gb extreme microsdxc uhs-i memory card with adapter,1650,-7
12,cluie29,"jul 13th, 2020 12:49 pm","july 6, 2020","jul 15th, 2020 1:36 pm",entertainment,59.99,33,$20 off,amazon.ca,computers & electronics,anker soundcore life p2 true wireless earbuds $59.99,4977,2
13,awais,"jul 14th, 2020 11:55 am","august 16, 2020","jul 15th, 2020 1:23 pm",computers & electronics,25.19,7,$12,amazon.ca,peripherals & accessories,soundpeats q12 bluetooth earbuds - $25,2146,-2
14,blubbs,"jul 12th, 2020 12:13 pm","june 26, 2020","jul 15th, 2020 1:01 pm",computers & electronics,$387,38,$400,best buy,peripherals & accessories,"asus 28"" 4k ips with full ergonomic stand open box $366",10788,6
15,cheapo-findo,"jul 15th, 2020 12:38 pm","july 21, 2020","jul 15th, 2020 1:00 pm",small business,3.99,2,56% off,papa john's pizza,restaurants,ginos pizza college st toronto - $3.99 medium 3 topping (first one gets it),923,-14
16,ryansluman,"may 12th, 2020 11:03 pm","january 1, 2021","jul 15th, 2020 12:56 pm",entertainment,250$,262,150$ off,bmo,financial services,get $50 when you send your first $100 global money transfer abroad,43459,22
17,baconape,"jul 10th, 2020 8:38 am","july 13, 2020","jul 15th, 2020 12:50 pm",computers & electronics,5.99,52,80%,microsoft store,video games,xbox one grand theft auto v: premium edition $5.99 (targeted ymmv),9206,9
18,nuf518600,"jul 14th, 2020 3:59 pm","july 16, 2020","jul 15th, 2020 12:47 pm",home & garden,153.9,9,84%,best buy,home improvement & tools,airthings corentium radon meter 153.9$,2549,8
19,costcoisbestco,"jun 12th, 2020 12:22 pm",_nan_,"jul 15th, 2020 12:38 pm",financial services,_nan_,338,_nan_,costco,groceries,$60 off $100+ purchase online voucher new memberships only,90542,130
20,daijoubu,"jul 15th, 2020 11:22 am",_nan_,"jul 15th, 2020 12:23 pm",entertainment,30,1,42%,amazon.ca,"books, music, movies, magazines",[warm] $30 mission: impossible 6 movie collection [blu-ray],657,1
21,samg852,"jul 15th, 2020 11:06 am","july 17, 2020","jul 15th, 2020 12:01 pm",entertainment,0.00,1,100,amazon.ca,"books, music, movies, magazines",popsicle cookbook free e-book digital only,929,11
22,roccerfeller,"jul 8th, 2020 4:32 pm","july 23, 2020","jul 15th, 2020 11:36 am",computers & electronics,3.99,14,90% off,fido,video games,psn far cry for ps4 prices - 3.99 to 19.99,4723,13
23,toyorav4me,"jul 15th, 2020 8:18 am","july 15, 2020","jul 15th, 2020 11:05 am",home & garden,_nan_,13,_nan_,amazon.ca,computers & electronics,up to 25% off sandisk memory,1721,5
24,taylur,"jul 2nd, 2020 7:50 pm","july 13, 2020","jul 15th, 2020 10:49 am",sports & fitness,199.98,46,40% off,sport chek,sports & fitness,marmot catalyst 3 person tent with footprint ($199.98),12076,15
25,juldum,"jun 3rd, 2020 7:00 pm","june 5, 2020","jul 15th, 2020 10:35 am",financial services,463.67,120,_nan_,dell,computers & electronics,"ultrasharp 27"" 1440p 60 hz usb-c ips monitor (u2719dc) 463$",28596,13
26,naryn40,"jun 26th, 2020 12:52 am","july 13, 2020","jul 15th, 2020 10:33 am",computers & electronics,379.99,49,up to 42%,amazon.ca,peripherals & accessories,"samsung ur55 28"" 4k monitor $379.99",15624,14
27,harold_callahan,"jul 15th, 2020 9:09 am",_nan_,"jul 15th, 2020 10:10 am",computers & electronics,$106.00,4,23% off,amazon.ca,peripherals & accessories,samsung galaxy buds - black | 23% off | $106,1782,7
28,jackji,"jul 12th, 2020 7:09 pm","june 23, 2020","jul 15th, 2020 10:05 am",computers & electronics,419.99,54,up to 60%,canadian tire,televisions,"sharp 4k roku smart tv, 58-in - 419.99",9635,4
29,6060842,"jul 15th, 2020 8:20 am",_nan_,"jul 15th, 2020 8:20 am",home & garden,_nan_,-1,_nan_,foodbasics,groceries,"50 cent mangoes ! gta , kitchener, london",554,0
0,slammergu,"jul 4th, 2020 9:04 am","march 1, 2020","jul 15th, 2020 7:47 am",home & garden,399,56,$80off,home depot,home improvement & tools,free tools with milwaukee tool m18 18v high output starter kit $399,14379,10
1,miisaka,"may 23rd, 2020 7:43 pm",_nan_,"jul 15th, 2020 5:38 am",beauty & wellness,_nan_,69,50%,telus mobility,apparel,mackage outerwear 50% off,27967,16
2,rb,"jul 8th, 2020 10:08 am","july 20, 2020","jul 15th, 2020 4:24 am",restaurants,free,25,80-85%,microsoft,fast food,free mama burger a& w app ymmv,6540,4
3,immad01,"jul 14th, 2020 10:21 am","june 29, 2020","jul 15th, 2020 1:29 am",beauty & wellness,$67.99,1,_nan_,amazon.ca,computers & electronics,"silicon power 512gb ssd 3d nand tlc a58 performance boost sata iii 2.5"" 7mm (0.28"") internal ssd for $67.99",2167,3
4,officer416,"jul 1st, 2020 12:26 am",_nan_,"jul 15th, 2020 1:00 am",computers & electronics,$1169,56,_nan_,dell,computers & tablets/ereaders,cyber savings event alienware monitor aw3420dw $1169,20305,2
5,strychinine,"jul 11th, 2020 11:26 pm","june 29, 2020","jul 15th, 2020 12:36 am",computers & electronics,25.99,5,48%,amazon.ca,peripherals & accessories,"$25.99 aukey 10000mah power bank, 18w usb-c portable charger",4097,-4
6,wearysky,"may 7th, 2020 11:52 am",_nan_,"jul 15th, 2020 12:27 am",home & garden,_nan_,408,_nan_,costco,groceries,brewery delivery/pickup deals (on),78629,107
7,messerschmitt,"may 26th, 2020 6:58 pm","september 30, 2020","jul 15th, 2020 12:18 am",financial services,31.47,388,$45 off,cibc,banking & investing,cibc global money transfer. now $75 bonus,71727,56
8,ragin_pyro,"jul 6th, 2020 10:59 pm","july 13, 2020","jul 14th, 2020 11:48 pm",kids & babies,102,172,10-25% off,sport chek,sports & fitness,sport chek and atmosphere: friends and family event 10-25% off,51180,43
9,kevinkuo,"jul 10th, 2020 11:03 am","may 3, 2020","jul 14th, 2020 11:42 pm",automotive,19.99,18,33% off,newegg,computers & electronics,sandisk 64gb high endurance microsdxc $19.99 (+ shipping),4974,-6
