Ausreisser_Index
0
1
2
5
6
7
13
20
26
35
54
55
67
72
75
76
82
83
87
88
89
90
98
102
103
104
112
113
129
130
132
133
141
149
150
154
166
171
175
183
185
188
191
193
197
198
206
211
212
221
222
223
226
246
257
263
265
270
294
315
318
335
336
337
342
349
357
359
370
381
386
397
398
404
406
416
423
424
435
467
472
475
482
484
490
505
526
561
562
582
586
599
604
605
607
616
625
630
640
646
651
665
677
689
726
729
736
737
740
758
763
777
782
815
839
844
846
856
887
888
893
901
914
916
935
966
968
976
979
998
1070
1078
1080
1118
1145
1147
1151
1170
1193
1201
1208
1235
1243
1276
