,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
0,54162826000000.0,8.124422e-17
1,3.1576512e+16,4.7364768e-14
2,910235300000.0,1.3653327e-18
3,91593140000.0,1.3736956e-19
4,8668512000.0,1.2982617e-20
5,2952220700000000.0,4.428331e-15
6,485949280000000.0,7.289239e-16
7,4.2052028e+17,6.307804e-13
8,1549237500000.0,2.3238361e-18
9,25427520000.0,3.8121126e-20
10,449741980.0,6.544613e-22
11,5266493000000.0,7.89972e-18
12,6337458300000000.0,9.506187e-15
13,45722460000000.0,6.858367e-17
14,143201190000000.0,2.1480176e-16
15,211577540000.0,3.1734614e-19
16,2404989800000.0,3.6074645e-18
17,99540840000.0,1.4929111e-19
18,446178600.0,6.491162e-22
19,27803343000.0,4.1684862e-20
20,1.10643484e+24,1.6596523e-06
21,4824374000.0,7.2164085e-21
22,267352750.0,3.8087744e-22
23,83977940000000.0,1.2596689e-16
24,29557602000.0,4.431625e-20
25,23022813000.0,3.4514066e-20
26,5.9852585e+16,8.977888e-14
27,13005283000.0,1.9487774e-20
28,4727556000000.0,7.0913135e-18
29,83010250000000.0,1.2451535e-16
30,29291938000.0,4.3917756e-20
31,23227558000.0,3.4821186e-20
32,4757638000000.0,7.136437e-18
33,214815010000.0,3.2220236e-19
34,242972800000.0,3.6443905e-19
35,2759516500000.0,4.1392544e-18
36,151125160000.0,2.2666757e-19
37,3641970500000.0,5.4629357e-18
38,114429150.0,1.5149204e-22
39,1707830500000.0,2.5617258e-18
40,143070510.0,1.9445406e-22
41,411453280.0,5.9702826e-22
42,319595360.0,4.5924135e-22
43,2263125500.0,3.3745366e-21
44,23029893000.0,3.4524687e-20
45,456035170.0,6.639011e-22
46,859877200.0,1.2696641e-21
47,124916730000.0,1.8735495e-19
48,1.8066086e+16,2.709913e-14
49,22955642000000.0,3.4433444e-17
50,1074683400.0,1.5918733e-21
51,131718136.0,1.7742552e-22
52,146337970.0,1.9935525e-22
53,977285100000.0,1.4659075e-18
54,548379380000000.0,8.2256905e-16
55,1.1154418e+19,1.6731627e-11
56,133883650000.0,2.0080533e-19
57,73140400000000.0,1.0971058e-16
58,1130443400000.0,1.695645e-18
59,1140636400000.0,1.7109344e-18
60,20890376.0,1.11838735e-23
61,552114370.0,8.080199e-22
62,89679690000000.0,1.3451951e-16
63,10548259000000.0,1.5822369e-17
64,840422060000.0,1.2606129e-18
65,49134350000.0,7.368138e-20
66,52942310000.0,7.939332e-20
67,1.0765755e+16,1.6148632e-14
68,48396350000000.0,7.25945e-17
69,1661510000000.0,2.492245e-18
70,20378327000.0,3.0547337e-20
71,1676180000000.0,2.51425e-18
72,4159163300000.0,6.238725e-18
73,392386670000.0,5.8855984e-19
74,12069937000000.0,1.8104886e-17
